game,console,Publisher,Release_Year,Release_Month,Release_Day,Total_Shipped,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,NS,PS4,XBOX ONE,PC,Genre,VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction,url
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",NS,Konami,2020,11,19,3000000,0,0,0,0,1,0,0,0,"Party, Miscellaneous",0,0,0,0,0,0,0,0,0,0,0,0,0,#VALUE!,"Momotaro Electric Railway ~ Showa Heisei, Reiwa is also a basic model! ÔΩû„Ä?Japanese: Momotaro Electric Railway~Aka and Heisei Reiwa ?ÇÂ?ban!~) is a game dedicated to Nintendo Switch developed by INFIGHT and published by Konami Digital Entertainment. It is the 23rd game in the Momotaro Electric Railway series. It will be released on September 2019. The Nintendo Direct meeting ""Nintendo Direct 2019.9.5"" aired on the 5th will be released for the first time in Japan on November 19, 2020.",https://s.pacn.ws///640/xp/momotaro-dentetsu-showa-heisei-reiwa-mo-teiban-606819.15.jpg?qm6396
Kirby Star Allies,NS,Nintendo,2018,3,16,2930000,0,0,0,0,1,0,0,0,"Action, Platformer",81,73,75,0,90,70,90,62.5,0,80,0,83,35,87.5,"Kirby Star Allies is a 2018 platform video game developed by HAL Laboratory and published by Nintendo for the Nintendo Switch. The sixteenth mainline installment in the Kirby series, the player controls Kirby in his quest to prevent a priest named Hyness from reviving a dark force to destroy the universe. Kirby must complete each level by jumping, inhaling enemies, and using his array of abilities to progress.",https://upload.wikimedia.org/wikipedia/en/6/65/Kirby_Star_Allies.jpg
Fire Emblem: Three Houses,NS,Nintendo,2019,7,26,2870000,0,0,0,0,1,0,0,0,"Strategy, Turn-Based, Tactics",80,89,89,0,0,0,0,95,0,90,100,95,37,92.5,"Fire Emblem: Three Houses is a tactical role-playing game developed by Intelligent Systems and Koei Tecmo[b] for the Nintendo Switch and published worldwide by Nintendo. It is the sixteenth installment in the Fire Emblem series[c] and the first one for home consoles since Fire Emblem: Radiant Dawn, originally released in 2007.",https://upload.wikimedia.org/wikipedia/en/1/16/Fire_Emblem_Three_Houses.jpg
Donkey Kong Country: Tropical Freeze,NS,Nintendo,2018,5,4,2650000,0,0,0,0,1,0,0,0,"Action, Platformer",91,86,86,90,100,70,95,92.5,90,90,90,90,35,87.5,"Donkey Kong Country: Tropical Freeze is a platform game developed by Retro Studios and published by Nintendo for the Wii U console. The fifth installment in the Donkey Kong Country series, Tropical Freeze is the direct sequel to the 2010 Wii game Donkey Kong Country Returns and was released in February 2014. An enhanced port for the Nintendo Switch was released in May 2018.",https://upload.wikimedia.org/wikipedia/en/f/fb/DKC5_box_art.jpg
ARMS,NS,Nintendo,2017,6,16,2380000,0,0,0,0,1,0,0,0,"Action, Sports, Fighting",79,77,71,0,70,90,85,82.5,0,70,90,80,33,82.5,"""ARMS"" (English: ARMS, also translated as ""Armor Arm Fighter ARMS"") is a 3D fighting game developed by Nintendo Planning and Production Division and published by Nintendo on Nintendo Switch. This game features the game character using spring-like arms or hair to boxing. Players can use the Joy-Con of Nintendo Switch for somatosensory operations or use button operations to control their characters[3]. The game was first announced at the Nintendo Switch conference in January 2017, and was released globally on June 16, 2017[4]. On November 15th of the same year, Nintendo?ôs Hong Kong official website announced that it will support Chinese [5]. On November 30th, Simplified Chinese, Traditional Chinese and Korean were added to the 4.1 version of the game.",https://upload.wikimedia.org/wikipedia/zh/8/8b/ARMS_NS.jpg
Xenoblade Chronicles 2,NS,Nintendo,2017,12,1,2050000,0,0,0,0,1,0,0,0,Action role-playing,82,83,87,90,80,70,70,75,90,70,0,85,35,87.5,"Xenoblade Chronicles 2[a] is an open world action role-playing game developed by Monolith Soft and published by Nintendo for the Nintendo Switch. Released worldwide on December 1, 2017, it is the third installment in Xenoblade Chronicles and the seventh main entry in the Xeno series. Plans for the game began shortly before the launch of Xenoblade Chronicles X in 2014. Key developers from previous games returned, including franchise creator Tetsuya Takahashi, and directors Koh Kojima and Genki Yokota. The team wanted to develop a story-driven game in the style of the original Xenoblade Chronicles. The game was announced in 2017 with a worldwide release date planned for the same year. As with Xenoblade Chronicles, the game was localized by Nintendo of Europe.",https://images-na.ssl-images-amazon.com/images/I/91oFP7GhmSL._SL1500_.jpg
Pikmin 3 Deluxe,NS,Nintendo,2020,10,30,2040000,0,0,0,0,1,0,0,0,"Strategy, Real-Time, General",0,85,84,85,90,80,100,90,80,80,80,90,37,92.5,"Pikmin 3 is a real-time strategy and puzzle game developed and published by Nintendo for the Wii U video game console. It is the sequel to the GameCube games Pikmin (2001) and Pikmin 2 (2004) and was released in Japan on July 13, 2013 and in all other regions within the following month. Shigeru Miyamoto announced Pikmin 3 on July 16, 2008 for the Wii console, later stating at E3 2011 that it had transitioned to Wii U.",https://images-na.ssl-images-amazon.com/images/I/816p-ko0lXL._SY445_.jpg
Mario + Rabbids: Kingdom Battle,NS,Ubisoft,2017,8,29,2000000,0,0,0,0,1,0,0,0,"Action, General, Strategy, Turn-Based, Tactics",83,85,84,0,75,0,85,85,0,90,80,77,0,#VALUE!,"Mario + Rabbids Kingdom Battle is a turn-based tactical role-playing video game developed by Ubisoft Milan and published by Ubisoft for the Nintendo Switch. The game is a crossover between Nintendo's Mario and Ubisoft's Raving Rabbids franchises, and features both single and cooperative gameplay. The game's story sees players controlling Mario, his friends and a group of Rabbids dressed as them, dealing with the aftermath of a sudden invasion by a group of Rabbids, who have accidentally misused a powerful invention that has brought chaos to the Mushroom Kingdom.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5909/5909500_sd.jpg
Octopath Traveler,NS,Nintendo,2018,7,13,1900000,0,0,0,0,1,0,1,1,"General, Role-Playing, Japanese-Style",81,83,85,0,75,0,0,80,0,80,0,93,36,90,"Octopath Traveler is a role-playing video game developed by Square Enix, in collaboration with Acquire. The game was released for the Nintendo Switch in July 2018, for Microsoft Windows in June 2019, for Stadia in April 2020, and for Xbox One in March 2021. The game has sold over 2.5 million copies worldwide by February 2021 and received ""generally favorable"" critical reception, with the most common point of praise going to the graphics and art style. A prequel, Octopath Traveler: Conquerers of the Continent, was released in 2020 in Japan.",https://s.yimg.com/zp/MerchandiseImages/9950E42B0E-SP-7462462.jpg
Minecraft,NS,Mojang,2018,6,21,1890000,690000,560000,520000,120000,1,1,1,1,"Sandbox, survival",92,86,75,0,0,90,0,92.5,0,85,0,95,0,#VALUE!,"Minecraft is a sandbox video game developed by Mojang. The game was created by Markus ""Notch"" Persson in the Java programming language. Following several early private testing versions, it was first made public in May 2009 before fully releasing in November 2011, with Jens Bergenstenthen taking over development. Minecraft has since been ported to several other platforms and is the best-selling video game of all time, with 200 million copies sold and 126 million monthly active users as of 2020.",https://upload.wikimedia.org/wikipedia/zh/5/51/Minecraft_cover.png
Yoshi's Crafted World,NS,Nintendo,2019,3,29,1840000,0,0,0,0,1,0,0,0,"Action, Platformer, 3D",78,79,79,83,75,80,0,82.5,70,80,70,78,0,#VALUE!,"Yoshi's Crafted World is a side-scrolling platform video game developed by Good-Feel and published by Nintendo for the Nintendo Switch. The eighth main installment in the Yoshi franchise, the game was revealed at E3 2017, and was released worldwide on March 29, 2019. The game received generally positive reviews from critics and sold 1.11 million copies worldwide in three days, making it one of the best-selling games on the system. The game follows the Yoshis as they venture to collect the scattered gems of the Sundream Stone, which has the ability to grant wishes, before Kamek and Baby Bowser can.",https://images-na.ssl-images-amazon.com/images/I/81K9ozFhJCL._SL1500_.jpg
Xenoblade Chronicles: Definitive Edition,NS,Nintendo,2020,5,29,1520000,0,0,0,0,1,0,0,0,"Role-Playing, Action RPG",75,89,90,90,95,90,80,95,80,90,90,80,36,90,"Xenoblade Chronicles is an open world action role-playing game developed by Monolith Soft and published by Nintendo for the Wii. Initially released in Japan in 2010, it was later released in the PAL regions in 2011 and then in North America in 2012. A port for the New Nintendo 3DS was released in 2015, and a high-definition remaster for the Nintendo Switch was released in May 2020. Xenoblade Chronicles is the first entry in the Xenoblade Chronicles series, a subseries which forms part of the larger Xeno metaseries. Although no direct narrative connections exist to previous Xeno games, it incorporates aesthetic and narrative elements from both fantasy and science fiction. The game features navigation through an open world split into zones, side-quests tied to party members' affinity, and a real-time action-based battle system which incorporates the main character's ability to see brief glimpses of the future.",https://images-na.ssl-images-amazon.com/images/I/81ATQpwVH0L._SL1500_.jpg
Captain Toad: Treasure Tracker,NS,Nintendo,2018,7,13,1440000,0,0,0,0,1,0,0,0,"Puzzle, Action, Platformer, 3D",81,82,79,85,80,70,80,80,80,80,60,87,34,85,Captain Toad: Treasure Tracker is a 2014 action puzzle video game developed and published by Nintendo for the Wii U. It is a spin-off of the Super Mario series which builds upon the isometric minigames starring Captain Toad from Super Mario 3D World.,https://upload.wikimedia.org/wikipedia/zh/9/90/CaptainToadtreasuretracker.png
The Witcher 3: Complete Edition,NS,CD Projekt Red Studio,2019,10,15,1400000,0,0,0,0,1,1,1,1,"Role-Playing, Action RPG",0,85,85,0,80,0,0,97.5,70,100,80,93,0,#VALUE!,"The Witcher 3: Wild Hunt is an action role-playing game developed and published by Polish developer CD Projekt Red and is based on The Witcher series of fantasy novels written by Andrzej Sapkowski. It is the sequel to the 2011 game The Witcher 2: Assassins of Kings and the third main installment in The Witcher video game series, played in an open world with a third-person perspective.",https://upload.wikimedia.org/wikipedia/zh/0/0c/Witcher_3_cover_art.jpg
